# Format: Company Name | Industry
Octopus Energy | Energy Software
Kraken Technologies | Energy Software
OVO Energy | Energy Software
Bulb Energy | Energy Software
Good Energy | Energy Software
Ecotricity | Energy Software
Green Energy UK | Energy Software
Utilita Energy | Energy Software
EON Next | Energy Software
Scottish Power | Energy Software
British Gas | Energy Software
EDF Energy | Energy Software
SSE Energy | Energy Software
Shell Energy | Energy Software
Tonik Energy | Energy Software
So Energy | Energy Software
Pure Planet | Energy Software
Igloo Energy | Energy Software
Outfox the Market | Energy Software
Yorkshire Energy | Energy Software
Siemens Energy | Energy Software
E.ON | Energy Software
RWE | Energy Software
Innogy | Energy Software
EnBW | Energy Software
LEAG | Energy Software
MVV Energie | Energy Software
Stadtwerke München | Energy Software
Hamburg Energie | Energy Software
Vattenfall Germany | Energy Software
Schneider Electric Germany | Energy Software
Agora Energiewende | Energy Software
Energy Web Foundation | Energy Software
Kiwi Power | Energy Software
Solarize | Energy Software
Solytic | Energy Software
Meteocontrol | Energy Software
SMA Solar Technology | Energy Software
Solarwatt | Energy Software
Sunfire | Energy Software
EDF | Energy Software
Engie | Energy Software
TotalEnergies | Energy Software
Schneider Electric | Energy Software
Veolia | Energy Software
Suez | Energy Software
Vinci Energies | Energy Software
Bouygues Energies | Energy Software
Actility | Energy Software
Wattics | Energy Software
Energy Pool | Energy Software
RTE | Energy Software
Enedis | Energy Software
GRDF | Energy Software
Electricite de Strasbourg | Energy Software
Soregies | Energy Software
Siemens Energy France | Energy Software
GE Renewable Energy | Energy Software
Alstom Energy | Energy Software
Saft Batteries | Energy Software
Vattenfall | Energy Software
Statkraft | Energy Software
Equinor | Energy Software
Orsted | Energy Software
Fortum | Energy Software
Neste | Energy Software
SSAB | Energy Software
Svenska Kraftnät | Energy Software
Energinet | Energy Software
Fingrid | Energy Software
Statnett | Energy Software
Svensk Energi | Energy Software
Energiforsk | Energy Software
Volue | Energy Software
Enoro | Energy Software
Greensight | Energy Software
Monta | Energy Software
Spirii | Energy Software
Enevo | Energy Software
Wirepas | Energy Software
Eneco | Energy Software
Essent | Energy Software
Nuon | Energy Software
Vandebron | Energy Software
TenneT | Energy Software
Stedin | Energy Software
Liander | Energy Software
Alliander | Energy Software
Gasunie | Energy Software
Energieopwek | Energy Software
Flower Power | Energy Software
Fudura | Energy Software
The Green Choice | Energy Software
Qurrent | Energy Software
OM | Energy Software
New Motion | Energy Software
EVBox | Energy Software
Alfen | Energy Software
Fagne | Energy Software
Spectral | Energy Software
Iberdrola | Energy Software
Endesa | Energy Software
Acciona Energia | Energy Software
EDP Spain | Energy Software
Naturgy | Energy Software
Red Electrica | Energy Software
Enagas | Energy Software
Siemens Gamesa | Energy Software
Saica Natur | Energy Software
Aqualogy | Energy Software
Enel | Energy Software
Terna | Energy Software
Snam | Energy Software
Hera Group | Energy Software
A2A | Energy Software
Iren | Energy Software
Acegas | Energy Software
Edison | Energy Software
Energia | Energy Software
Italgas | Energy Software
Axpo | Energy Software
BKW | Energy Software
Alpiq | Energy Software
Repower | Energy Software
Romande Energie | Energy Software
Energie 360 | Energy Software
IWB | Energy Software
EOS Holding | Energy Software
Swissgrid | Energy Software
Amstein Walthert | Energy Software
Verbund | Energy Software
EVN | Energy Software
Wien Energie | Energy Software
Energie AG | Energy Software
Kelag | Energy Software
Salzburg AG | Energy Software
Tiroler Wasserkraft | Energy Software
Vorarlberger Energienetze | Energy Software
APCS | Energy Software
Linz AG | Energy Software
Elia | Energy Software
Fluxys | Energy Software
Engie Electrabel | Energy Software
Luminus | Energy Software
TotalEnergies Belgium | Energy Software
EDF Luminus | Energy Software
RESA | Energy Software
Ores | Energy Software
Sibelga | Energy Software
Gaselwest | Energy Software
ESB | Energy Software
SSE Airtricity | Energy Software
Electric Ireland | Energy Software
Bord Gais | Energy Software
Energia | Energy Software
Pinergy | Energy Software
Prepay Power | Energy Software
Iberdrola Ireland | Energy Software
Flogas | Energy Software
Glowpower | Energy Software
PGE | Energy Software
Tauron | Energy Software
Enea | Energy Software
Energa | Energy Software
PGE Dystrybucja | Energy Software
Innogy Poland | Energy Software
CEZ | Energy Software
EON Czech | Energy Software
Skoda Auto Energy | Energy Software
EPH | Energy Software
Slovenske Elektrarne | Energy Software
ZSE | Energy Software
MOL Group | Energy Software
EON Hungary | Energy Software
OPUS | Energy Software
NEK | Energy Software
CEZ Bulgaria | Energy Software
Energoproekt | Energy Software
Hidroelectrica | Energy Software
Electrica | Energy Software
Autogrid | Energy Software
Likewatt | Energy Software
BeeBryte | Energy Software
GridBeyond | Energy Software
Moixa | Energy Software
Electron | Energy Software
Verv | Energy Software
PassivSystems | Energy Software
Origami Energy | Energy Software
Open Energi | Energy Software
Reactive Technologies | Energy Software
Tempus Energy | Energy Software
Switchee | Energy Software
Flick Electric | Energy Software
Entelios | Energy Software
Next Kraftwerke | Energy Software
Clean Energy Wire | Energy Software
Energy Ledger | Energy Software
Sunamp | Energy Software
