# European Energy Software Companies - 200 Companies
# Format: Company Name | Country | Industry
# Generated for Solstein Research Pipeline

# UK Energy Software Companies
Octopus Energy | UK | Energy Software
Kraken Technologies | UK | Energy Software
OVO Energy | UK | Energy Software
Bulb Energy | UK | Energy Software
Good Energy | UK | Energy Software
Ecotricity | UK | Energy Software
Green Energy UK | UK | Energy Software
Utilita Energy | UK | Energy Software
EON Next | UK | Energy Software
Scottish Power | UK | Energy Software
British Gas | UK | Energy Software
EDF Energy | UK | Energy Software
SSE Energy | UK | Energy Software
Shell Energy | UK | Energy Software
Tonik Energy | UK | Energy Software
So Energy | UK | Energy Software
Pure Planet | UK | Energy Software
Igloo Energy | UK | Energy Software
Outfox the Market | UK | Energy Software
Yorkshire Energy | UK | Energy Software

# German Energy Software Companies
Siemens Energy | Germany | Energy Software
E.ON | Germany | Energy Software
RWE | Germany | Energy Software
Innogy | Germany | Energy Software
EnBW | Germany | Energy Software
LEAG | Germany | Energy Software
MVV Energie | Germany | Energy Software
Stadtwerke München | Germany | Energy Software
Hamburg Energie | Germany | Energy Software
Vattenfall Germany | Germany | Energy Software
Schneider Electric Germany | Germany | Energy Software
Agora Energiewende | Germany | Energy Software
Energy Web Foundation | Germany | Energy Software
Kiwi Power | Germany | Energy Software
Solarize | Germany | Energy Software
Solytic | Germany | Energy Software
Meteocontrol | Germany | Energy Software
SMA Solar Technology | Germany | Energy Software
Solarwatt | Germany | Energy Software
Sunfire | Germany | Energy Software

# French Energy Software Companies
EDF | France | Energy Software
Engie | France | Energy Software
TotalEnergies | France | Energy Software
Schneider Electric | France | Energy Software
Veolia | France | Energy Software
Suez | France | Energy Software
Vinci Energies | France | Energy Software
Bouygues Energies | France | Energy Software
Actility | France | Energy Software
Wattics | France | Energy Software
Energy Pool | France | Energy Software
RTE | France | Energy Software
Enedis | France | Energy Software
GRDF | France | Energy Software
Electricite de Strasbourg | France | Energy Software
Soregies | France | Energy Software
Siemens Energy France | France | Energy Software
GE Renewable Energy | France | Energy Software
Alstom Energy | France | Energy Software
Saft Batteries | France | Energy Software

# Nordic Energy Software Companies
Vattenfall | Sweden | Energy Software
Statkraft | Norway | Energy Software
Equinor | Norway | Energy Software
